AccountNumber,AccountSource,Active__c,AnnualRevenue,BillingAddress,CustomerPriority__c,DandbCompanyId,Description,DunsNumber,Fax,Industry,Jigsaw,NaicsCode,NaicsDesc,Name,NumberOfEmployees,NumberofLocations__c,OwnerId,Ownership,ParentId,Phone,Rating,SLAExpirationDate__c,SLASerialNumber__c,SLA__c,ShippingAddress,Sic,SicDesc,Site,TickerSymbol,Tier,Tradestyle,Type,UpsellOpportunity__c,Website,YearStarted,ExternalId__c
ACC-1001,Web,Yes,1200000.00,&quot;123 Main St, Springfield, IL 62701&quot;,High,,Sample account description,123456789,217-555-0101,Technology,JS-001,541512,Computer Systems Design Services,Acme Corporation,250,5,,Public,,312-555-0199,Hot,2024-12-31,SLASN-1001,Gold,&quot;456 Elm St, Springfield, IL 62701&quot;,3579,Consulting Services,Main Site,ACME,Top,Acme Tradestyle,Customer,Yes,http://www.acme.com,1999,EXT-ACC-1001
ACC-1002,Phone,No,850000.00,&quot;789 Oak St, Chicago, IL 60601&quot;,Medium,,Second sample account,987654321,312-555-0102,Finance,JS-002,522110,Commercial Banking,Globex Corporation,120,2,,Private,,773-555-0198,Warm,2025-03-15,SLASN-1002,Silver,&quot;321 Pine St, Chicago, IL 60601&quot;,4680,Banking Services,Branch 1,GLOBEX,Mid,Globex Tradestyle,Partner,No,http://www.globex.com,2005,EXT-ACC-1002
ACC-1003,Partner Referral,Yes,430000.00,&quot;246 Maple Ave, Peoria, IL 61602&quot;,Low,,Third sample account,192837465,309-555-0103,Healthcare,JS-003,621111,Offices of Physicians,Initech,75,1,,Public,,217-555-0197,Cold,2024-09-01,SLASN-1003,Platinum,&quot;654 Cedar Ave, Peoria, IL 61602&quot;,5791,Medical Services,Main Campus,INTECH,Low,Initech Tradestyle,Prospect,Maybe,http://www.initech.com,2010,EXT-ACC-1003
ACC-1004,Other,No,670000.00,&quot;135 Birch Rd, Evanston, IL 60201&quot;,Medium,,Fourth sample account,564738291,847-555-0104,Education,JS-004,611310,Colleges, Universities, and Professional Schools,Stark Industries,300,8,,Nonprofit,,224-555-0196,Warm,2025-06-30,SLASN-1004,Bronze,&quot;987 Spruce Rd, Evanston, IL 60201&quot;,6802,Education Services,North Campus,STARK,Top,Stark Tradestyle,Reseller,Yes,http://www.stark.com,1985,EXT-ACC-1004
ACC-1005,Web,Yes,990000.00,&quot;357 Walnut St, Naperville, IL 60540&quot;,High,,Fifth sample account,918273645,630-555-0105,Manufacturing,JS-005,333120,Construction Machinery Manufacturing,Wayne Enterprises,500,10,,Public,,708-555-0195,Hot,2024-11-15,SLASN-1005,Gold,&quot;159 Chestnut St, Naperville, IL 60540&quot;,7913,Manufacturing,Main Plant,WAYNE,Top,Wayne Tradestyle,Customer,Yes,http://www.wayne.com,1978,EXT-ACC-1005
ACC-1006,Phone,No,560000.00,&quot;468 Aspen Dr, Aurora, IL 60506&quot;,Low,,Sixth sample account,564738920,630-555-0106,Technology,JS-006,541511,Custom Computer Programming Services,Oscorp,80,3,,Private,,331-555-0194,Cold,2025-02-28,SLASN-1006,Silver,&quot;753 Willow Dr, Aurora, IL 60506&quot;,8024,Programming Services,Research Lab,OSCORP,Mid,Oscorp Tradestyle,Partner,No,http://www.oscorp.com,2001,EXT-ACC-1006
ACC-1007,Partner Referral,Yes,780000.00,&quot;579 Hickory Ln, Joliet, IL 60435&quot;,Medium,,Seventh sample account,837465192,815-555-0107,Finance,JS-007,523930,Investment Advice,LexCorp,200,4,,Public,,779-555-0193,Warm,2024-10-20,SLASN-1007,Platinum,&quot;357 Poplar Ln, Joliet, IL 60435&quot;,9135,Financial Services,Advisory Office,LEXCORP,Low,LexCorp Tradestyle,Prospect,Maybe,http://www.lexcorp.com,2015,EXT-ACC-1007
ACC-1008,Other,No,340000.00,&quot;680 Sycamore St, Elgin, IL 60120&quot;,High,,Eighth sample account,374659182,847-555-0108,Healthcare,JS-008,621210,Dental Offices,Daily Planet,60,1,,Nonprofit,,224-555-0192,Hot,2025-08-10,SLASN-1008,Bronze,&quot;951 Magnolia St, Elgin, IL 60120&quot;,1024,Dental Services,Main Office,PLANET,Top,Planet Tradestyle,Reseller,Yes,http://www.dailyplanet.com,1995,EXT-ACC-1008
ACC-1009,Web,Yes,1500000.00,&quot;791 Elmwood Ave, Schaumburg, IL 60193&quot;,Medium,,Ninth sample account,918273564,847-555-0109,Manufacturing,JS-009,334510,Electromedical Apparatus Manufacturing,Wonka Industries,350,7,,Public,,630-555-0191,Warm,2024-07-25,SLASN-1009,Gold,&quot;357 Oakwood Ave, Schaumburg, IL 60193&quot;,1125,Medical Manufacturing,Factory,WONKA,Mid,Wonka Tradestyle,Customer,Yes,http://www.wonka.com,1980,EXT-ACC-1009
ACC-1010,Phone,No,620000.00,&quot;159 Willow St, Rockford, IL 61101&quot;,Low,,Tenth sample account,564738291,815-555-0110,Education,JS-010,611110,Elementary and Secondary Schools,Black Mesa,90,2,,Private,,779-555-0190,Cold,2025-05-05,SLASN-1010,Silver,&quot;753 Maple St, Rockford, IL 61101&quot;,1357,Education Services,Main Building,MESA,Low,Mesa Tradestyle,Partner,No,http://www.blackmesa.com,2008,EXT-ACC-1010
